2026-08-10 05:14:53,697 | 41702 | 4613633536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492433267534364893(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x10c34fa30>
2026-08-10 12:25:27,884 | 50770 | 4660352512 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492541623846258092(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x11fccc520>
2026-08-10 14:16:31,242 | 53019 | 4376536576 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492569572128807073(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x1198a0520>
[US.TSLA] snapshot saved: 2144 contracts -> US_TSLA_2026-08-10.csv
[US.NVDA] snapshot saved: 1236 contracts -> US_NVDA_2026-08-10.csv
watching 24 contracts, polling every 30s. Ctrl-C to stop.

loaded 9925 previously-seen ticks from disk
18:00:49  new ticks: 53  (cumulative unique: 41438)
18:01:21  new ticks: 67  (cumulative unique: 41505)
18:01:52  new ticks: 58  (cumulative unique: 41563)
18:02:24  new ticks: 42  (cumulative unique: 41605)
18:02:55  new ticks: 26  (cumulative unique: 41631)
18:03:27  new ticks: 44  (cumulative unique: 41675)
18:03:58  new ticks: 32  (cumulative unique: 41707)
18:04:30  new ticks: 31  (cumulative unique: 41738)
18:05:01  new ticks: 30  (cumulative unique: 41768)
18:05:33  new ticks: 29  (cumulative unique: 41797)
18:06:04  new ticks: 40  (cumulative unique: 41837)
18:06:36  new ticks: 29  (cumulative unique: 41866)
18:07:07  new ticks: 53  (cumulative unique: 41919)
18:07:39  new ticks: 42  (cumulative unique: 41961)
18:08:10  new ticks: 64  (cumulative unique: 42025)
18:08:42  new ticks: 19  (cumulative unique: 42044)
18:09:13  new ticks: 0  (cumulative unique: 42044)
18:09:43  new ticks: 0  (cumulative unique: 42044)
18:10:14  new ticks: 0  (cumulative unique: 42044)
18:10:44  new ticks: 0  (cumulative unique: 42044)
18:11:14  new ticks: 0  (cumulative unique: 42044)
18:11:44  new ticks: 0  (cumulative unique: 42044)
18:12:14  new ticks: 0  (cumulative unique: 42044)
18:12:44  new ticks: 0  (cumulative unique: 42044)
18:13:14  new ticks: 0  (cumulative unique: 42044)
18:13:44  new ticks: 0  (cumulative unique: 42044)
18:14:14  new ticks: 0  (cumulative unique: 42044)
18:14:44  new ticks: 0  (cumulative unique: 42044)
