2026-08-10 05:14:53,697 | 41702 | 4613633536 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492433267534364893(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x10c34fa30>
2026-08-10 12:25:27,884 | 50770 | 4660352512 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492541623846258092(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x11fccc520>
2026-08-10 14:16:31,242 | 53019 | 4376536576 | [open_context_base.py:410] _init_connect_sync: New connect ready: conn=7492569572128807073(1) context=<futu.quote.open_quote_context.OpenQuoteContext object at 0x1198a0520>
[US.TSLA] snapshot saved: 2144 contracts -> US_TSLA_2026-08-10.csv
[US.NVDA] snapshot saved: 1236 contracts -> US_NVDA_2026-08-10.csv
watching 24 contracts, polling every 30s. Ctrl-C to stop.

loaded 9925 previously-seen ticks from disk
15:03:01  new ticks: 1537  (cumulative unique: 16512)
15:03:38  new ticks: 132  (cumulative unique: 16644)
15:04:15  new ticks: 138  (cumulative unique: 16782)
15:04:52  new ticks: 131  (cumulative unique: 16913)
15:05:29  new ticks: 152  (cumulative unique: 17065)
15:06:06  new ticks: 109  (cumulative unique: 17174)
15:06:43  new ticks: 101  (cumulative unique: 17275)
15:07:21  new ticks: 72  (cumulative unique: 17347)
15:07:58  new ticks: 103  (cumulative unique: 17450)
15:08:35  new ticks: 110  (cumulative unique: 17560)
15:09:12  new ticks: 108  (cumulative unique: 17668)
15:09:49  new ticks: 81  (cumulative unique: 17749)
15:10:26  new ticks: 130  (cumulative unique: 17879)
15:11:03  new ticks: 136  (cumulative unique: 18015)
15:11:40  new ticks: 84  (cumulative unique: 18099)
15:12:17  new ticks: 81  (cumulative unique: 18180)
15:12:54  new ticks: 129  (cumulative unique: 18309)
15:13:32  new ticks: 96  (cumulative unique: 18405)
15:14:09  new ticks: 97  (cumulative unique: 18502)
15:14:46  new ticks: 109  (cumulative unique: 18611)
15:15:23  new ticks: 106  (cumulative unique: 18717)
15:16:00  new ticks: 95  (cumulative unique: 18812)
15:16:37  new ticks: 318  (cumulative unique: 19130)
15:17:14  new ticks: 577  (cumulative unique: 19707)
15:17:51  new ticks: 86  (cumulative unique: 19793)
15:18:28  new ticks: 65  (cumulative unique: 19858)
15:19:06  new ticks: 82  (cumulative unique: 19940)
15:19:43  new ticks: 112  (cumulative unique: 20052)
15:20:20  new ticks: 118  (cumulative unique: 20170)
15:20:57  new ticks: 78  (cumulative unique: 20248)
15:21:34  new ticks: 111  (cumulative unique: 20359)
15:22:12  new ticks: 95  (cumulative unique: 20454)
15:22:49  new ticks: 115  (cumulative unique: 20569)
15:23:26  new ticks: 191  (cumulative unique: 20760)
15:24:03  new ticks: 92  (cumulative unique: 20852)
15:24:40  new ticks: 145  (cumulative unique: 20997)
15:25:17  new ticks: 131  (cumulative unique: 21128)
15:25:55  new ticks: 100  (cumulative unique: 21228)
15:26:32  new ticks: 151  (cumulative unique: 21379)
15:27:09  new ticks: 113  (cumulative unique: 21492)
15:27:46  new ticks: 170  (cumulative unique: 21662)
15:28:23  new ticks: 155  (cumulative unique: 21817)
15:29:01  new ticks: 99  (cumulative unique: 21916)
15:29:38  new ticks: 126  (cumulative unique: 22042)
15:30:15  new ticks: 130  (cumulative unique: 22172)
15:30:52  new ticks: 115  (cumulative unique: 22287)
15:31:27  new ticks: 113  (cumulative unique: 22400)
15:32:02  new ticks: 147  (cumulative unique: 22547)
15:32:36  new ticks: 88  (cumulative unique: 22635)
15:33:10  new ticks: 67  (cumulative unique: 22702)
15:33:45  new ticks: 64  (cumulative unique: 22766)
15:34:19  new ticks: 152  (cumulative unique: 22918)
15:34:53  new ticks: 110  (cumulative unique: 23028)
15:35:27  new ticks: 76  (cumulative unique: 23104)
15:36:01  new ticks: 161  (cumulative unique: 23265)
